sourceId,sourceType,title,sourceYear,sourceUrl,collectedAt
SEU_DEPT,院系列表,东南大学院系设置,2026,https://www.seu.edu.cn/17399/list.htm,2026-08-31
CS_2023,培养方案,2023级计算机科学与技术本科专业培养方案,2023,https://cs.seu.edu.cn/_upload/article/files/c0/e1/a1ddff26422fb6f655d8d4f65a1c/ba192a48-19cf-4f08-b707-c39f12ecca36.pdf,2026-08-31
SE_2023,培养方案,2023级软件工程本科专业培养方案,2023,https://cs.seu.edu.cn/_upload/article/files/6d/10/9792a12f4db7b53a3d6301db8a8c/15d8b627-5777-46c2-af5b-8bb76a7c2c2b.pdf,2026-08-31
AI_2023,培养方案,2023级人工智能本科专业培养方案,2023,https://cs.seu.edu.cn/_upload/article/files/ce/96/460b19804b69a1df18e4ffeb8d7f/0e756f75-618f-4b41-9372-5743a1a09d36.pdf,2026-08-31
CYBER_2025,培养方案,2025级网络空间安全学院本科培养方案,2025,https://cyber.seu.edu.cn/_upload/article/files/03/00/16c6c414442686387b259209cfc7/3e6a752c-3e91-4bac-9589-89015f43bdbe.pdf,2026-08-31
RADIO_2025,培养方案,2025级信息工程、海洋信息工程本科培养方案,2025,https://radio.seu.edu.cn/_upload/article/files/62/23/db30cf5446009d6beb9cc5e41a3d/051e14ec-5b6c-4945-839f-69f21ee43422.pdf,2026-08-31
INS_2025,培养方案,2025级仪器科学与工程学院本科培养方案,2025,https://ins.seu.edu.cn/_upload/article/files/85/70/d182645e4f388c89654c939c8593/34130697-0248-4a98-ad86-4f72b7ae5b5b.pdf,2026-08-31
